lat,lon,value
57.045,9.321,0
57.045,9.323,0
57.045,9.325,0
57.045,9.326,0
57.045,9.328,0
57.045,9.33,0
57.045,9.331,0
57.045,9.333,0
57.045,9.335,0
57.045,9.336,0
57.045,9.338,0
57.045,9.34,0
57.045,9.341,0
57.045,9.343,0
57.045,9.345,0
57.045,9.346,0
57.045,9.348,0
57.045,9.35,0
57.045,9.351,0
57.045,9.353,0
57.045,9.354,0
57.045,9.356,0
57.045,9.358,0
57.045,9.359,0
57.045,9.361,0
57.045,9.363,0
57.045,9.364,0
57.045,9.366,0
57.045,9.368,0
57.045,9.369,0
57.045,9.371,0
57.045,9.373,0
57.045,9.374,0
57.045,9.376,0
57.045,9.378,0
57.045,9.379,0
57.045,9.381,0
57.045,9.382,0
57.045,9.384,0
57.045,9.386,0
57.045,9.387,0
57.045,9.389,0
57.045,9.391,0
57.045,9.392,0
57.045,9.394,0
57.045,9.396,0
57.045,9.397,0
57.045,9.399,0
57.045,9.401,0
57.045,9.402,0
57.045,9.404,0
57.045,9.406,0
57.045,9.407,0
57.045,9.409,0
57.045,9.41,0
57.045,9.412,0
57.045,9.414,0
57.045,9.415,0
57.045,9.417,0
57.045,9.419,0
57.045,9.42,0
57.045,9.422,0
57.045,9.424,0
57.045,9.425,0
57.045,9.427,0
57.045,9.429,0
57.045,9.43,0
57.045,9.432,0
57.045,9.434,0
57.045,9.435,0
57.045,9.437,0
57.045,9.439,0
57.045,9.44,0
57.045,9.442,0
57.045,9.443,0
57.045,9.445,0
57.045,9.447,0
57.045,9.448,0
57.045,9.45,0
57.045,9.452,0
57.045,9.453,0
57.045,9.455,0
57.045,9.457,0
57.045,9.458,0
57.045,9.46,0
57.045,9.462,0
57.045,9.463,0
57.045,9.465,0
57.045,9.467,0
57.045,9.468,0
57.045,9.47,0
57.044,9.471,0
57.044,9.473,0
57.044,9.475,0
57.044,9.476,0
57.044,9.478,0
57.044,9.48,0
57.044,9.481,0
57.044,9.483,0
57.044,9.485,0
57.044,9.486,0
57.044,9.488,0
57.044,9.49,0
57.044,9.491,0
57.044,9.493,0
57.044,9.495,0
57.044,9.496,0
57.044,9.498,0
57.044,9.499,0
57.044,9.501,0
57.044,9.503,0
57.044,9.504,0
57.044,9.506,0
57.044,9.508,0
57.044,9.509,0
57.044,9.511,0
57.044,9.513,0
57.044,9.514,0
57.044,9.516,0
57.044,9.518,0
57.044,9.519,0
57.044,9.521,0
57.044,9.523,0
57.044,9.524,0
57.044,9.526,0
57.044,9.528,0
